unit,interval_end,demand,energy,original_energy,reconstructed_energy,error
ELECTRIC_KWH_HR,2024-01-01 06:00:00+00:00,152.0,152.0,152.0,178.44495117187498,-26.444951171874976
ELECTRIC_KWH_HR,2024-01-01 07:00:00+00:00,150.5,150.5,150.5,178.44495117187498,-27.944951171874976
ELECTRIC_KWH_HR,2024-01-01 08:00:00+00:00,145.5,145.5,145.5,178.44495117187498,-32.944951171874976
ELECTRIC_KWH_HR,2024-01-01 09:00:00+00:00,134.0,134.0,134.0,178.44495117187498,-44.444951171874976
ELECTRIC_KWH_HR,2024-01-01 10:00:00+00:00,131.0,131.0,131.0,178.44495117187498,-47.444951171874976
ELECTRIC_KWH_HR,2024-01-01 11:00:00+00:00,160.0,160.0,160.0,178.44495117187498,-18.444951171874976
ELECTRIC_KWH_HR,2024-01-01 12:00:00+00:00,191.5,191.5,191.5,178.44495117187498,13.055048828125024
ELECTRIC_KWH_HR,2024-01-01 13:00:00+00:00,204.5,204.5,204.5,178.44495117187498,26.055048828125024
ELECTRIC_KWH_HR,2024-01-01 14:00:00+00:00,208.0,208.0,208.0,178.44495117187498,29.555048828125024
ELECTRIC_KWH_HR,2024-01-01 15:00:00+00:00,206.5,206.5,206.5,178.44495117187498,28.055048828125024
ELECTRIC_KWH_HR,2024-01-01 16:00:00+00:00,208.5,208.5,208.5,178.44495117187498,30.055048828125024
ELECTRIC_KWH_HR,2024-01-01 17:00:00+00:00,208.5,208.5,208.5,178.44495117187498,30.055048828125024
ELECTRIC_KWH_HR,2024-01-01 18:00:00+00:00,208.5,208.5,208.5,178.44495117187498,30.055048828125024
ELECTRIC_KWH_HR,2024-01-01 19:00:00+00:00,208.5,208.5,208.5,178.44495117187498,30.055048828125024
ELECTRIC_KWH_HR,2024-01-01 20:00:00+00:00,209.0,209.0,209.0,178.44495117187498,30.555048828125024
ELECTRIC_KWH_HR,2024-01-01 21:00:00+00:00,206.5,206.5,206.5,178.44495117187498,28.055048828125024
ELECTRIC_KWH_HR,2024-01-01 22:00:00+00:00,208.0,208.0,208.0,178.44495117187498,29.555048828125024
ELECTRIC_KWH_HR,2024-01-01 23:00:00+00:00,204.0,204.0,204.0,178.44495117187498,25.555048828125024
ELECTRIC_KWH_HR,2024-01-02 00:00:00+00:00,203.0,203.0,203.0,178.44495117187498,24.555048828125024
ELECTRIC_KWH_HR,2024-01-02 01:00:00+00:00,155.0,155.0,155.0,178.44495117187498,-23.444951171874976
ELECTRIC_KWH_HR,2024-01-02 02:00:00+00:00,150.0,150.0,150.0,178.44495117187498,-28.444951171874976
ELECTRIC_KWH_HR,2024-01-02 03:00:00+00:00,158.5,158.5,158.5,178.44495117187498,-19.944951171874976
ELECTRIC_KWH_HR,2024-01-02 04:00:00+00:00,159.5,159.5,159.5,178.44495117187498,-18.944951171874976
ELECTRIC_KWH_HR,2024-01-02 05:00:00+00:00,160.0,160.0,160.0,178.44495117187498,-18.444951171874976
ELECTRIC_KWH_HR,2024-01-02 06:00:00+00:00,161.0,161.0,161.0,178.44495117187498,-17.444951171874976
ELECTRIC_KWH_HR,2024-01-02 07:00:00+00:00,154.5,154.5,154.5,178.44495117187498,-23.944951171874976
ELECTRIC_KWH_HR,2024-01-02 08:00:00+00:00,145.5,145.5,145.5,178.44495117187498,-32.944951171874976
ELECTRIC_KWH_HR,2024-01-02 09:00:00+00:00,133.0,133.0,133.0,178.44495117187498,-45.444951171874976
ELECTRIC_KWH_HR,2024-01-02 10:00:00+00:00,137.0,137.0,137.0,178.44495117187498,-41.444951171874976
ELECTRIC_KWH_HR,2024-01-02 11:00:00+00:00,153.0,153.0,153.0,178.44495117187498,-25.444951171874976
ELECTRIC_KWH_HR,2024-01-02 12:00:00+00:00,199.0,199.0,199.0,178.44495117187498,20.555048828125024
ELECTRIC_KWH_HR,2024-01-02 13:00:00+00:00,222.5,222.5,222.5,178.44495117187498,44.055048828125024
ELECTRIC_KWH_HR,2024-01-02 14:00:00+00:00,250.5,250.5,250.5,277.819951171875,-27.319951171875005
ELECTRIC_KWH_HR,2024-01-02 15:00:00+00:00,286.0,286.0,286.0,277.819951171875,8.180048828124995
ELECTRIC_KWH_HR,2024-01-02 16:00:00+00:00,289.5,289.5,289.5,277.819951171875,11.680048828124995
ELECTRIC_KWH_HR,2024-01-02 17:00:00+00:00,292.5,292.5,292.5,277.819951171875,14.680048828124995
ELECTRIC_KWH_HR,2024-01-02 18:00:00+00:00,289.0,289.0,289.0,277.819951171875,11.180048828124995
ELECTRIC_KWH_HR,2024-01-02 19:00:00+00:00,286.5,286.5,286.5,277.819951171875,8.680048828124995
ELECTRIC_KWH_HR,2024-01-02 20:00:00+00:00,284.5,284.5,284.5,277.819951171875,6.6800488281249955
ELECTRIC_KWH_HR,2024-01-02 21:00:00+00:00,275.0,275.0,275.0,277.819951171875,-2.8199511718750045
ELECTRIC_KWH_HR,2024-01-02 22:00:00+00:00,270.0,270.0,270.0,223.38245117187503,46.61754882812497
ELECTRIC_KWH_HR,2024-01-02 23:00:00+00:00,243.5,243.5,243.5,223.38245117187503,20.117548828124967
ELECTRIC_KWH_HR,2024-01-03 00:00:00+00:00,224.0,224.0,224.0,223.38245117187503,0.617548828124967
ELECTRIC_KWH_HR,2024-01-03 01:00:00+00:00,171.5,171.5,171.5,223.38245117187503,-51.88245117187503
ELECTRIC_KWH_HR,2024-01-03 02:00:00+00:00,163.5,163.5,163.5,156.63245117187498,6.867548828125024
ELECTRIC_KWH_HR,2024-01-03 03:00:00+00:00,160.0,160.0,160.0,156.63245117187498,3.367548828125024
ELECTRIC_KWH_HR,2024-01-03 04:00:00+00:00,158.0,158.0,158.0,156.63245117187498,1.3675488281250239
ELECTRIC_KWH_HR,2024-01-03 05:00:00+00:00,160.5,160.5,160.5,156.63245117187498,3.867548828125024
ELECTRIC_KWH_HR,2024-01-03 06:00:00+00:00,160.5,160.5,160.5,174.16370117187498,-13.663701171874976
ELECTRIC_KWH_HR,2024-01-03 07:00:00+00:00,155.5,155.5,155.5,174.16370117187498,-18.663701171874976
ELECTRIC_KWH_HR,2024-01-03 08:00:00+00:00,149.0,149.0,149.0,174.16370117187498,-25.163701171874976
ELECTRIC_KWH_HR,2024-01-03 09:00:00+00:00,137.0,137.0,137.0,174.16370117187498,-37.163701171874976
ELECTRIC_KWH_HR,2024-01-03 10:00:00+00:00,138.5,138.5,138.5,174.16370117187498,-35.663701171874976
ELECTRIC_KWH_HR,2024-01-03 11:00:00+00:00,157.5,157.5,157.5,174.16370117187498,-16.663701171874976
ELECTRIC_KWH_HR,2024-01-03 12:00:00+00:00,202.0,202.0,202.0,174.16370117187498,27.836298828125024
ELECTRIC_KWH_HR,2024-01-03 13:00:00+00:00,225.5,225.5,225.5,174.16370117187498,51.336298828125024
ELECTRIC_KWH_HR,2024-01-03 14:00:00+00:00,249.0,249.0,249.0,293.663701171875,-44.663701171875005
ELECTRIC_KWH_HR,2024-01-03 15:00:00+00:00,281.5,281.5,281.5,293.663701171875,-12.163701171875005
ELECTRIC_KWH_HR,2024-01-03 16:00:00+00:00,294.0,294.0,294.0,293.663701171875,0.33629882812499545
ELECTRIC_KWH_HR,2024-01-03 17:00:00+00:00,300.0,300.0,300.0,293.663701171875,6.3362988281249955
ELECTRIC_KWH_HR,2024-01-03 18:00:00+00:00,297.5,297.5,297.5,293.663701171875,3.8362988281249955
ELECTRIC_KWH_HR,2024-01-03 19:00:00+00:00,296.5,296.5,296.5,293.663701171875,2.8362988281249955
ELECTRIC_KWH_HR,2024-01-03 20:00:00+00:00,285.5,285.5,285.5,293.663701171875,-8.163701171875005
ELECTRIC_KWH_HR,2024-01-03 21:00:00+00:00,277.5,277.5,277.5,293.663701171875,-16.163701171875005
ELECTRIC_KWH_HR,2024-01-03 22:00:00+00:00,270.0,270.0,270.0,239.05432617187503,30.945673828124967
ELECTRIC_KWH_HR,2024-01-03 23:00:00+00:00,240.0,240.0,240.0,239.05432617187503,0.945673828124967
ELECTRIC_KWH_HR,2024-01-04 00:00:00+00:00,206.5,206.5,206.5,168.30432617187498,38.195673828125024
ELECTRIC_KWH_HR,2024-01-04 01:00:00+00:00,162.0,162.0,162.0,168.30432617187498,-6.304326171874976
ELECTRIC_KWH_HR,2024-01-04 02:00:00+00:00,163.0,163.0,163.0,145.42932617187498,17.570673828125024
ELECTRIC_KWH_HR,2024-01-04 03:00:00+00:00,162.5,162.5,162.5,145.42932617187498,17.070673828125024
ELECTRIC_KWH_HR,2024-01-04 04:00:00+00:00,159.5,159.5,159.5,145.42932617187498,14.070673828125024
ELECTRIC_KWH_HR,2024-01-04 05:00:00+00:00,160.5,160.5,160.5,145.42932617187498,15.070673828125024
ELECTRIC_KWH_HR,2024-01-04 06:00:00+00:00,159.5,159.5,159.5,174.55432617187498,-15.054326171874976
ELECTRIC_KWH_HR,2024-01-04 07:00:00+00:00,158.5,158.5,158.5,174.55432617187498,-16.054326171874976
ELECTRIC_KWH_HR,2024-01-04 08:00:00+00:00,148.5,148.5,148.5,174.55432617187498,-26.054326171874976
